id,name,email,salary,is_founder,manager_id,founder_key,created_at,updated_at
4,"Oswald Little",oswald@hr.com,13000,0,2,,"2026-02-13 06:39:05","2026-02-13 13:44:07"
5,"Prof. Damaris McKenzie",employee_698edb4c26fcb@example.com,6954,0,4,,"2026-02-13 08:05:32","2026-02-13 13:44:07"
6,"Prince Rogahn",employee_698edb4c2adb7@example.com,8891,0,5,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
7,"Blake Konopelski",employee_698edb4c2af92@example.com,8078,0,4,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
8,"Ms. Maya Schultz",employee_698edb4c2b139@example.com,8110,0,5,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
9,"Bradford Labadie",employee_698edb4c2b2d6@example.com,4123,0,7,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
10,"Jewell Walter",employee_698edb4c2b466@example.com,5703,0,4,,"2026-02-13 08:05:32","2026-02-13 13:44:07"
11,"Dr. Roderick Stokes DVM",employee_698edb4c2b5e9@example.com,2816,0,9,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
12,"Louie Carroll",employee_698edb4c2b79f@example.com,8547,0,5,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
13,"Judge Kerluke PhD",employee_698edb4c2b94a@example.com,6737,0,5,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
14,"Dayna Lebsack",employee_698edb4c2bb6c@example.com,2268,0,9,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
15,"Kaitlin Predovic III",employee_698edb4c2bd5c@example.com,1216,0,10,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
16,"Lera Block I",employee_698edb4c2bfa6@example.com,8215,0,10,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
17,"Nikko Nikolaus MD",employee_698edb4c2c1ef@example.com,5148,0,12,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
18,"Shaylee Harvey",employee_698edb4c2c471@example.com,7762,0,13,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
19,"Forest Muller",employee_698edb4c2c6e6@example.com,7806,0,16,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
20,"Sally Fritsch",employee_698edb4c2c8e9@example.com,2792,0,15,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
21,"Narciso Koss Sr.",employee_698edb4c2cad5@example.com,1729,0,9,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
22,"Dr. Gladys Schumm",employee_698edb4c2cce8@example.com,2908,0,8,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
23,"Rocky Kirlin",employee_698edb4c2ceba@example.com,6918,0,12,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
24,"Grayson Douglas",employee_698edb4c2d052@example.com,6774,0,15,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
25,"Katrine King",employee_698edb4c2d272@example.com,1937,0,6,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
26,"Eva Reinger",employee_698edb4c2d400@example.com,3587,0,24,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
27,"Dr. Roman West",employee_698edb4c2d587@example.com,7077,0,5,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
28,"Prof. Jeanette Johnston",employee_698edb4c2d708@example.com,4152,0,11,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
29,"Hilbert Dibbert DDS",employee_698edb4c2d885@example.com,7463,0,21,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
30,"Rae Metz",employee_698edb4c2da1f@example.com,8360,0,17,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
31,"Watson Volkman",employee_698edb4c2dbaf@example.com,8011,0,15,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
32,"Maybelle Conroy",employee_698edb4c2dd2d@example.com,3070,0,20,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
33,"Ms. Aaliyah Pagac",employee_698edb4c2deb1@example.com,4086,0,31,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
34,"Prof. Desmond Hagenes III",employee_698edb4c2e03c@example.com,4582,0,17,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
35,"Rocky Schmidt",employee_698edb4c2e243@example.com,8312,0,20,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
36,"Dr. Zoila Kunde Jr.",employee_698edb4c2e3ef@example.com,8714,0,16,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
37,"Dakota Barton",employee_698edb4c2e582@example.com,6157,0,5,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
38,"Mr. Jaydon Olson",employee_698edb4c2e705@example.com,7951,0,30,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
39,"Ena Cronin",employee_698edb4c2e898@example.com,4034,0,6,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
40,"Dr. Monserrat Frami Jr.",employee_698edb4c2ea1d@example.com,3567,0,18,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
41,"Prof. Mallory Hoppe III",employee_698edb4c2eba3@example.com,6183,0,13,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
42,"Liza Christiansen",employee_698edb4c2ed2d@example.com,3542,0,14,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
43,"Domenico Kovacek I",employee_698edb4c2eea9@example.com,7874,0,37,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
44,"Dr. Braden O'Kon DVM",employee_698edb4c2f02f@example.com,3067,0,10,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
45,"Dr. Bonita Huels",employee_698edb4c2f1ec@example.com,7011,0,7,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
